keys,it
t8c6283623f,"[[Right|Good|Excellent|Perfect]], [[let's go by card|here's the machine|ready with the card]]."
t5ae48e245e,I still prefer cash
t43b787e073,Cash is the only legal tender
tb7dcd1a020,"Alright, I'll go somewhere else, maybe I'll find someone who pays their taxes…"
tcf02cb83a5,"[[Unbelievalbe|Incredible]], accepting electronic payments is be mandatory (note: it is in Italy) but there are still people like you who think they are above the law. Sell this stuff to someone else."
t8ccb038c4e,"[[Yeah|Look at this]], one tries to push for change but there is always someone who works against it. You won't mind finding someone else to sell this merchandise to."
t4ffa15cde5,"Okay, I'll travel [[one|two|three]] miles further to go to your competitor, so, here's your stuff back."
t9af48f8f71,This time I'll pay cash... but I'll spread the word.
ta76fceda0b,"I'll budge this time, but I'll remember to look somewhere else next time."
t488e3fa8a8,"That's fine, but your colleague across the street told me that he doesn't have problems with cards…"
t7756872929,"Of course, but the obligation to accept electronic payments remains (note: it's the law in Italy)"
t142f3d3cf6,"[[Right|Good|Excellent|Perfect]], [[let's go by card|here's the machine|ready with the card]]."
t64b774becf,I still prefer cash
ta2bd7bbd9e,Choose a payment provider:
tc2b37b1d9d,"Bank (fee: {{100 * get_fee(""card"", amount)}}%)"
t4ed730b069,"PayUp (fee: {{100 * get_fee(""payup"", amount)}}%)"
t53a0472898,"OddlyPay (fee: {{100 * get_fee(""oddlypay"", amount)}}%)"
t97b8bd45ca,At the end of the day you have {{bank}} money in the bank and {{cash}} money in cash.
t0bc162474e,Take the cash to the bank.
t1dfcf7f15f,Go back home.
t267a4f433e,And today too we brought the bread home.
tec23789721,"Well, to the pub now!"
t6cf379d95d,"Of course it was a bit of a risk, with all that cash, but it turned out well."
t0bf22e3e6f,Tomorrow is another day!
t678a0c3c68,Hands up!
t0d8d7acb60,Give it up if want to live!
t28fab67c1f,Empty your wallet!
tcc089a8dbd,Empty your pockets!
t8873a801e3,You were robbed on the way to the bank! The police arrived too late to stop the thief and you lost {{stolen_cash}} money!
t47f1d93a36,"Make an insurance claim (you recover {{potential loss}}) money, the premium will go up)"
tdad83184fe,Go back home (you lose {{stolen_cash}} money)
tfd830ec1e9,Hands up!
t99d3129d55,Give it up if you want to live!
tb4e434bc4a,Empty your wallet!
ta63e78c003,Empty your pockets!
t29909e55c2,You were robbed in the store! The police arrived too late to stop the thief and you lost {{stolen_cash}} money!
tc20800c867,"Make an insurance claim (you recover {{potential_loss}}) money, the premium will go up)"
t8a8611b98d,Close up ad go home (you lose {{stolen_cash}} money)
t24bf932818,The insurance refunds you {{insurance_refund}} money. The new premium is {{insurance_premium}} with an excess of {{insurance_excess}}.
